metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_connecting,1789880719,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_tls_handshaking,1789880719,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_sending,1789880719,0.027550,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_waiting,1789880719,204.679200,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_receiving,1789880719,0.070811,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_failed,1789880719,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
checks,1789880719,1.000000,booking did not 5xx,,,,,,,,booking_load,,,,,,,
http_reqs,1789880719,1.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_duration,1789880719,207.699331,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_blocked,1789880719,197.968246,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_connecting,1789880719,197.832155,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_tls_handshaking,1789880719,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
